date,commodity_id,commodity_name,price,day_of_year
2024-11-26,cabai_merah_keriting,Cabai Merah Keriting,41276,331
2024-11-27,cabai_merah_keriting,Cabai Merah Keriting,41654,332
2024-11-28,cabai_merah_keriting,Cabai Merah Keriting,41848,333
2024-11-29,cabai_merah_keriting,Cabai Merah Keriting,41918,334
2024-11-30,cabai_merah_keriting,Cabai Merah Keriting,42224,335
2024-12-01,cabai_merah_keriting,Cabai Merah Keriting,42433,336
2024-12-02,cabai_merah_keriting,Cabai Merah Keriting,42792,337
2024-12-03,cabai_merah_keriting,Cabai Merah Keriting,42682,338
2024-12-04,cabai_merah_keriting,Cabai Merah Keriting,42784,339
2024-12-05,cabai_merah_keriting,Cabai Merah Keriting,42857,340
2024-12-06,cabai_merah_keriting,Cabai Merah Keriting,43121,341
2024-12-07,cabai_merah_keriting,Cabai Merah Keriting,43210,342
2024-12-08,cabai_merah_keriting,Cabai Merah Keriting,43366,343
2024-12-09,cabai_merah_keriting,Cabai Merah Keriting,43457,344
2024-12-10,cabai_merah_keriting,Cabai Merah Keriting,43850,345
2024-12-11,cabai_merah_keriting,Cabai Merah Keriting,44044,346
2024-12-12,cabai_merah_keriting,Cabai Merah Keriting,44405,347
2024-12-13,cabai_merah_keriting,Cabai Merah Keriting,44439,348
2024-12-14,cabai_merah_keriting,Cabai Merah Keriting,44937,349
2024-12-15,cabai_merah_keriting,Cabai Merah Keriting,45220,350
2024-12-16,cabai_merah_keriting,Cabai Merah Keriting,44874,351
2024-12-17,cabai_merah_keriting,Cabai Merah Keriting,44993,352
2024-12-18,cabai_merah_keriting,Cabai Merah Keriting,44316,353
2024-12-19,cabai_merah_keriting,Cabai Merah Keriting,44128,354
2024-12-20,cabai_merah_keriting,Cabai Merah Keriting,44400,355
2024-12-21,cabai_merah_keriting,Cabai Merah Keriting,44497,356
2024-12-22,cabai_merah_keriting,Cabai Merah Keriting,44926,357
2024-12-23,cabai_merah_keriting,Cabai Merah Keriting,44767,358
2024-12-24,cabai_merah_keriting,Cabai Merah Keriting,44627,359
2024-12-25,cabai_merah_keriting,Cabai Merah Keriting,44211,360
2024-12-26,cabai_merah_keriting,Cabai Merah Keriting,44496,361
2024-12-27,cabai_merah_keriting,Cabai Merah Keriting,45034,362
2024-12-28,cabai_merah_keriting,Cabai Merah Keriting,44966,363
2024-12-29,cabai_merah_keriting,Cabai Merah Keriting,45237,364
2024-12-30,cabai_merah_keriting,Cabai Merah Keriting,45215,365
2024-12-31,cabai_merah_keriting,Cabai Merah Keriting,45147,366
2025-01-01,cabai_merah_keriting,Cabai Merah Keriting,45321,1
2025-01-02,cabai_merah_keriting,Cabai Merah Keriting,45333,2
2025-01-03,cabai_merah_keriting,Cabai Merah Keriting,45733,3
2025-01-04,cabai_merah_keriting,Cabai Merah Keriting,45978,4
2025-01-05,cabai_merah_keriting,Cabai Merah Keriting,46123,5
2025-01-06,cabai_merah_keriting,Cabai Merah Keriting,46654,6
2025-01-07,cabai_merah_keriting,Cabai Merah Keriting,46678,7
2025-01-08,cabai_merah_keriting,Cabai Merah Keriting,46805,8
2025-01-09,cabai_merah_keriting,Cabai Merah Keriting,47080,9
2025-01-10,cabai_merah_keriting,Cabai Merah Keriting,47266,10
2025-01-11,cabai_merah_keriting,Cabai Merah Keriting,47200,11
2025-01-12,cabai_merah_keriting,Cabai Merah Keriting,47195,12
2025-01-13,cabai_merah_keriting,Cabai Merah Keriting,47265,13
2025-01-14,cabai_merah_keriting,Cabai Merah Keriting,47415,14
2025-01-15,cabai_merah_keriting,Cabai Merah Keriting,47277,15
2025-01-16,cabai_merah_keriting,Cabai Merah Keriting,47538,16
2025-01-17,cabai_merah_keriting,Cabai Merah Keriting,47657,17
2025-01-18,cabai_merah_keriting,Cabai Merah Keriting,47897,18
2025-01-19,cabai_merah_keriting,Cabai Merah Keriting,48396,19
2025-01-20,cabai_merah_keriting,Cabai Merah Keriting,48243,20
2025-01-21,cabai_merah_keriting,Cabai Merah Keriting,48202,21
2025-01-22,cabai_merah_keriting,Cabai Merah Keriting,48025,22
2025-01-23,cabai_merah_keriting,Cabai Merah Keriting,48550,23
2025-01-24,cabai_merah_keriting,Cabai Merah Keriting,48717,24
2025-01-25,cabai_merah_keriting,Cabai Merah Keriting,49099,25
2025-01-26,cabai_merah_keriting,Cabai Merah Keriting,48909,26
2025-01-27,cabai_merah_keriting,Cabai Merah Keriting,48755,27
2025-01-28,cabai_merah_keriting,Cabai Merah Keriting,49034,28
2025-01-29,cabai_merah_keriting,Cabai Merah Keriting,49138,29
2025-01-30,cabai_merah_keriting,Cabai Merah Keriting,49288,30
2025-01-31,cabai_merah_keriting,Cabai Merah Keriting,49348,31
2025-02-01,cabai_merah_keriting,Cabai Merah Keriting,49410,32
2025-02-02,cabai_merah_keriting,Cabai Merah Keriting,49225,33
2025-02-03,cabai_merah_keriting,Cabai Merah Keriting,49299,34
2025-02-04,cabai_merah_keriting,Cabai Merah Keriting,49186,35
2025-02-05,cabai_merah_keriting,Cabai Merah Keriting,48989,36
2025-02-06,cabai_merah_keriting,Cabai Merah Keriting,49469,37
2025-02-07,cabai_merah_keriting,Cabai Merah Keriting,48916,38
2025-02-08,cabai_merah_keriting,Cabai Merah Keriting,48933,39
2025-02-09,cabai_merah_keriting,Cabai Merah Keriting,49141,40
2025-02-10,cabai_merah_keriting,Cabai Merah Keriting,49495,41
2025-02-11,cabai_merah_keriting,Cabai Merah Keriting,49724,42
2025-02-12,cabai_merah_keriting,Cabai Merah Keriting,49779,43
2025-02-13,cabai_merah_keriting,Cabai Merah Keriting,50478,44
2025-02-14,cabai_merah_keriting,Cabai Merah Keriting,50577,45
2025-02-15,cabai_merah_keriting,Cabai Merah Keriting,50655,46
2025-02-16,cabai_merah_keriting,Cabai Merah Keriting,50941,47
2025-02-17,cabai_merah_keriting,Cabai Merah Keriting,51148,48
2025-02-18,cabai_merah_keriting,Cabai Merah Keriting,51317,49
2025-02-19,cabai_merah_keriting,Cabai Merah Keriting,51701,50
2025-02-20,cabai_merah_keriting,Cabai Merah Keriting,51821,51
2025-02-21,cabai_merah_keriting,Cabai Merah Keriting,52067,52
2025-02-22,cabai_merah_keriting,Cabai Merah Keriting,52491,53
2025-02-23,cabai_merah_keriting,Cabai Merah Keriting,52381,54
2025-02-24,cabai_merah_keriting,Cabai Merah Keriting,51776,55
2025-02-25,cabai_merah_keriting,Cabai Merah Keriting,51692,56
2025-02-26,cabai_merah_keriting,Cabai Merah Keriting,51706,57
2025-02-27,cabai_merah_keriting,Cabai Merah Keriting,51727,58
2025-02-28,cabai_merah_keriting,Cabai Merah Keriting,51772,59
2025-03-01,cabai_merah_keriting,Cabai Merah Keriting,51663,60
2025-03-02,cabai_merah_keriting,Cabai Merah Keriting,51596,61
2025-03-03,cabai_merah_keriting,Cabai Merah Keriting,51740,62
2025-03-04,cabai_merah_keriting,Cabai Merah Keriting,51808,63
2025-03-05,cabai_merah_keriting,Cabai Merah Keriting,51848,64
2025-03-06,cabai_merah_keriting,Cabai Merah Keriting,51573,65
2025-03-07,cabai_merah_keriting,Cabai Merah Keriting,51814,66
2025-03-08,cabai_merah_keriting,Cabai Merah Keriting,51913,67
2025-03-09,cabai_merah_keriting,Cabai Merah Keriting,51872,68
2025-03-10,cabai_merah_keriting,Cabai Merah Keriting,51954,69
2025-03-11,cabai_merah_keriting,Cabai Merah Keriting,51667,70
2025-03-12,cabai_merah_keriting,Cabai Merah Keriting,51567,71
2025-03-13,cabai_merah_keriting,Cabai Merah Keriting,52160,72
2025-03-14,cabai_merah_keriting,Cabai Merah Keriting,51933,73
2025-03-15,cabai_merah_keriting,Cabai Merah Keriting,51728,74
2025-03-16,cabai_merah_keriting,Cabai Merah Keriting,51868,75
2025-03-17,cabai_merah_keriting,Cabai Merah Keriting,51682,76
2025-03-18,cabai_merah_keriting,Cabai Merah Keriting,51287,77
2025-03-19,cabai_merah_keriting,Cabai Merah Keriting,50648,78
2025-03-20,cabai_merah_keriting,Cabai Merah Keriting,50676,79
2025-03-21,cabai_merah_keriting,Cabai Merah Keriting,50923,80
2025-03-22,cabai_merah_keriting,Cabai Merah Keriting,50580,81
2025-03-23,cabai_merah_keriting,Cabai Merah Keriting,50459,82
2025-03-24,cabai_merah_keriting,Cabai Merah Keriting,50031,83
2025-03-25,cabai_merah_keriting,Cabai Merah Keriting,50655,84
2025-03-26,cabai_merah_keriting,Cabai Merah Keriting,50865,85
2025-03-27,cabai_merah_keriting,Cabai Merah Keriting,50645,86
2025-03-28,cabai_merah_keriting,Cabai Merah Keriting,50798,87
2025-03-29,cabai_merah_keriting,Cabai Merah Keriting,50918,88
2025-03-30,cabai_merah_keriting,Cabai Merah Keriting,51048,89
2025-03-31,cabai_merah_keriting,Cabai Merah Keriting,51087,90
2025-04-01,cabai_merah_keriting,Cabai Merah Keriting,51468,91
2025-04-02,cabai_merah_keriting,Cabai Merah Keriting,50982,92
2025-04-03,cabai_merah_keriting,Cabai Merah Keriting,50950,93
2025-04-04,cabai_merah_keriting,Cabai Merah Keriting,51080,94
2025-04-05,cabai_merah_keriting,Cabai Merah Keriting,51272,95
2025-04-06,cabai_merah_keriting,Cabai Merah Keriting,51657,96
2025-04-07,cabai_merah_keriting,Cabai Merah Keriting,51732,97
