Soil_Type,Fertility,Photoperiod,N-P-K Ratio,Temperature,Rainfall,pH,Light_Hours,Light_Intensity,Rh,Nitrogen,Phosphorus,Potassium,Yield,Category_pH,Season,Name
Sandy Loam,High,Short Day Period,10:10:10,21.04003128,487.3250733,6.522557831,6.957984967,632.013531,54.62175171,138.8255457,165.4874125,339.7452031,63.20371897,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,26.48887048,504.2661094,5.546068562,6.837063707,554.684016,51.98838454,140.4933374,163.0227169,310.9172588,61.7722084,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,26.08025487,517.9321756,6.208011485,6.524896818,544.8393409,57.8674163,146.952909,169.1385273,309.7511164,62.87869779,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,24.91521422,481.2715181,6.45519876,6.580254764,390.2177467,54.29945862,138.3050472,153.3264275,309.0245181,60.51065445,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,26.56740748,486.1193394,6.085406737,6.344331209,627.7544873,57.00160368,145.6475114,159.9746552,320.0724641,62.05118102,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.84767995,513.7492692,6.431116699,7.115013804,420.9743683,54.24664085,130.5702358,161.564887,307.4451338,60.3529584,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,24.53451844,498.3651217,5.887184227,6.798224,528.2445552,56.92899125,135.6414854,151.8677296,335.1881921,62.96572242,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.27770233,488.3053856,6.473678045,6.463715811,607.1085263,55.38266631,141.9605646,160.2936959,306.6662267,60.84003294,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.21380278,452.9206475,6.293185087,6.789008766,380.157444,55.65733704,138.3660506,161.0554773,333.0418637,59.55537707,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,24.70661868,481.3640211,5.964399442,7.492743457,506.3384323,55.82063419,140.9464053,161.6352921,297.5190128,61.05797026,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,21.99752298,466.6629211,5.825464204,7.125267051,457.18071,55.46224904,135.1808268,160.8690935,288.2305395,62.44575285,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.24688285,526.2214099,6.480532582,6.992522407,572.2158914,56.59475901,143.4031202,150.0029448,297.6915166,62.48775808,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.64943677,497.0745307,6.44295048,7.835966965,658.158461,52.81528805,145.780971,161.9175393,359.9546232,60.68907715,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.19672021,458.034218,5.948574403,7.043291385,544.8307876,54.43605772,147.7251405,168.5533053,294.0436256,64.50319644,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.96078485,492.4093634,6.666084648,7.22658797,331.5867328,52.52155237,148.6520018,152.5481065,289.746733,61.87375707,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,24.97268716,488.4519004,6.100568309,7.285985562,751.858681,54.12582599,137.6795268,154.6765701,325.6645038,62.92858102,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,22.7555044,498.3065806,5.906153826,6.657076239,707.111945,52.84439405,131.8373419,156.5162999,301.1474159,61.37882952,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,24.28263722,524.2339295,6.130721784,6.598076378,518.8730728,52.63122256,134.7992697,158.7418379,301.9881957,60.10159589,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,25.16123739,550.2566181,6.54434223,6.805567883,674.0177316,52.03769275,134.9693771,170.6490719,305.9701704,59.84116827,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.68021057,490.0528516,6.153860091,7.054806284,597.0013426,56.4964887,145.0808147,161.2055445,323.8320695,61.60693338,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.42635106,539.9912581,5.605065505,6.828336611,450.6011652,52.6314282,136.8855378,168.7699463,322.2825367,64.22159251,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.61514756,527.4731226,6.060058328,6.935212431,486.7924046,54.61596022,139.5958154,154.6087387,300.373571,59.92376435,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,21.76807308,520.2847982,5.806483068,7.184227509,471.3574447,53.94298917,128.5304974,160.235374,307.4807403,61.91263748,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,21.60976465,516.0745924,6.279981637,7.545170634,565.1269026,54.70998403,139.9764176,160.4888657,303.1256466,62.1778083,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,22.59670101,493.1542353,5.95931996,6.801631553,516.4132733,53.40288917,139.8735131,157.8600558,276.2116438,59.82565233,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,22.67235137,522.888925,6.308379906,6.76068173,670.6299021,56.77448765,141.3722716,175.7608933,295.6408245,61.66330024,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,25.5587775,452.5667844,6.283885894,7.371975084,491.8953194,54.76047515,142.513021,154.7575409,322.6674178,61.43086133,low_acidic,Spring,Tomatoes
